objid,inventorynr,inventorynr_sorted,originaltitle,title_de,title_en,production_date,in_exhibition,material_de,material_en,measurement_height,measurement_width,measurement_depth,measurement_unit,description_de,description_en,creditline,acquiry_date,exploitation_rights,default_image,tags
9053,G 948/0,G 00948/000,Fantasmas,,Fantasmas,1999 - 2000,no,Farbfotografie,Color photograph,127.0,160.0,,cm,,,erworben/acquired in,2001,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=9053,
9054,B 949/0,B 00949/000,Title Unfound,,,1997,no,"Acetat, Holz, Polyester","Acetate, wood, polyester",120.0,120.0,,cm,,,erworben/acquired in,2000,,https://www.mumok.at/imageobject.php?objid=9054,
9055,G 949/0,G 00949/000,Teleculture,,,1999 - 2000,no,Farbfotografie,Color photograph,127.0,158.0,,cm,,,erworben/acquired in,2001,,https://www.mumok.at/imageobject.php?objid=9055,
9056,B 950/0,B 00950/000,"Who's Afraid of Blue, Red and Green? (4:3)",,,1996,no,"Acrylglass, Farbpigment","Acrylic glass, color pigment",120.0,160.0,,cm,,,erworben/acquired in,2000,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=9056,"Malerei, Abstraktion, Moderne, Amerika, Newman, Farbfeldmalerei, Österreich"
9058,B 950/1,B 00950/001,"Who's Afraid of Blue, Red and Green? (4:3)",,,1996,no,"Acrylglas, Farbpigment","Acrylic glass, color pigment",120.0,160.0,,cm,,,erworben/acquired in,2000,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=9058,
9059,G 950/1,G 00950/001,"Else Wuttke-Biller, ""Das Haustöchterchen""",,,1990 - 1991,no,Künstlerbuch,Artist's Book,19.5,12.5,2.5,cm,Aus urheberrechtlichen Gründen dürfen wir dieses Werk leider nicht abbilden.,Due to copyright restrictions there is no image of this work.,"Schenkung Galerie Hubert Winter, Wien/donation by Galerie Hubert Winter, Vienna",2001,Elke Silvia Krystufek,https://www.mumok.at/imageobject.php?objid=9059,
7239,G 615/270,G 00615/270,Mann,Mann,Man,1972,no,"Bleistift, Farbstift auf Papier","Pencil, crayon on paper",21.0,15.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7239,
7262,G 615/293,G 00615/293,Das Jüngste Gericht,,The Last Judgement,1972,no,"Tinte, Tusche auf Papier","Ink, india ink on paper",21.0,15.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Privatstiftung - Künstler aus Gugging,https://www.mumok.at/imageobject.php?objid=7262,
7263,G 615/294,G 00615/294,Schutzmantelmadonna,,Virgin of Mercy,1972,no,"Tinte, Tusche auf Papier","Ink, india ink on paper",21.0,15.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Privatstiftung - Künstler aus Gugging,https://www.mumok.at/imageobject.php?objid=7263,
7264,G 615/295,G 00615/295,Die Melancholie (nach Albrecht Dürer),,The Melancholy (by Albrecht Dürer),1973,no,"Tinte, Tusche auf Papier","Ink, india ink on paper",30.0,22.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Privatstiftung - Künstler aus Gugging,https://www.mumok.at/imageobject.php?objid=7264,
7272,G 615/303,G 00615/303,Schriftbild mit Emblemen,,,ohne Jahr/undated,no,"Bleistift, Wasserfarbe, Kugelschreiber auf Papier","Pencil, water color, ball pen on paper",20.5,20.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7272,
7273,G 615/304,G 00615/304,"Schriftbild, mit Stempel unterlegt",,,ohne Jahr/undated,no,"Farbstift, Stempel auf Papier","Crayon, stamp on paper",21.0,29.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7273,
7274,G 615/305,G 00615/305,Ghost Jelinek,,,ohne Jahr/undated,no,Tinte auf Papier,Ink on paper,38.0,28.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7274,
7275,G 615/306,G 00615/306,Gebetlied gegen Klopfen am Gange,,,ohne Jahr/undated,no,"Tinte, Farbstift, Tintenstift auf Papier","Ink, crayon, ink pen on paper",38.0,28.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7275,
7276,G 615/307,G 00615/307,Schriftbild (Brief),,,1976,no,Schreibmaschine auf Papier,Typewriter on paper,29.7,21.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7276,
7277,G 615/308,G 00615/308,"Ewigkeitssendeautomat vom Ewigkeitssendhimmel Ewigkeitssenderedeaabarat, Rocnoabwap! Gorwap.!",,,ohne Jahr/undated,no,Kugelschreiber auf Papier,Ball pen on paper,29.0,21.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7277,
7278,G 615/309,G 00615/309,Städtisches Bad,,,1970,no,"Bleistift, Farbstift auf Papier","Pencil, crayon on paper",14.5,19.5,,cm,"August Walla, geboren 1936 und im Jahr 2001 verstorben, ist ein Künstler der sich jedweder bürgerlichen Norm wiedersetzt. Er lebt mit seiner Mutter in Klosterneuburg ehe er ins „Haus der Künstler“ in Gugging einzieht. Seine Schaffensprozesse richten sich auf ein breites Feld der künstlerischen Betätigung: Er gestaltet seine Umgebung als universeller Künstler intensiv und vielfältig. Seine Zeichnungen sind nur ein kleiner Teil des Gesamtwerkes und sind oft geprägt von einer privaten religionsphilosophischen Weltsicht. Vermischt mit scheinbar biografischen Bezügen, die manchmal traumatische Anklänge haben, und versteckten Botschaften ergeben sich Inhalte, die nicht restlos entschlüsselt werden können. So etwa sind auf der Zeichnung „Städtisches Bad“  aus dem Jahr 1970 fünf Badehosen nebeneinander zu sehen. Offenbar stammen sie von Kindern und Erwachsenen, wobei bei den „großen“ Modellen des männlichen Kleidungsstücks eine Anthropomorphisierung mit weiblichen Geschlechtsteilen angedeutet wird.","August Walla, born in 1936, died 2001, was an artist who resisted all bourgeois norms. He lived with his mother in Klosterneuburg before he moved into the Artists’ House in Gugging. His creative processes spread over a wide field of artistic activity: as a universal artist he altered his environment intensively and in many ways. His drawings are only a small part of his whole oeuvre and are often influenced by a private religio-philosophical world view. Mixed with apparently biographical references that sometimes echo with traumatic experiences and hidden messages, it is not possible to completely decode the contents. Thus, in ‘Städtisches Bad’ [Municipal Swimming Pool] from 1970 there are five swimming shorts, one beside the other. Apparently belonging to both children and adults, the ‘grown up’ versions of the male swimming gear have undergone an anthropomorphisation that suggests female genitalia.","Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7278,
7279,G 615/310,G 00615/310,"Aloisia, 28 Jahre alt",,,1970,no,"Bleistift, Farbstift, Kugelschreiber auf Papier","Pencil, crayon, ball pen on paper",21.0,14.5,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7279,
7280,G 615/311,G 00615/311,Uringläser,,,ohne Jahr/undated,no,"Filzstift, Farbstift auf Papier","Felt pen, crayon on papaer",29.5,21.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7280,
7281,G 615/312,G 00615/312,Doppel-Urinal,,,ohne Jahr/undated,no,"Bleistift, Farbstift, Wasserfarbe auf Papier","Pencil, crayon, water color on paper",28.5,21.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7281,
7282,G 615/313,G 00615/313,Riesenurinalglas zur Bäumedüngung Rußlands,,,ohne Jahr/undated,no,"Kugelschreiber, Farbstift, Filzstift auf Papier","Ball pen, crayon, felt pen on paper",21.0,28.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7282,
7283,G 615/314,G 00615/314,Strolch Walla (mit Königskronen),,,ohne Jahr/undated,no,"Kugelschreiber, Farbstift auf Papier","Ball pen, crayon on paper",21.0,14.5,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7283,
7284,G 615/315,G 00615/315,Bube mit Kuheuter,,,ohne Jahr/undated,no,"Bleistift, Stempel auf Papier","Pencil, stamp on paper",29.0,19.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7284,
7285,G 615/316,G 00615/316,Melkautomat für Knabenmelkereien,,,ohne Jahr/undated,no,"Bleistift, Farbstift, Kugelschreiber auf Karton","Pencil, crayon, ball pen on cardboard",31.0,30.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7285,
7286,G 615/317,G 00615/317,Sibal Walla,,,ohne Jahr/undated,no,"Bleistift, Farbstift, Kugelschreiber, Filzstift auf Papier","Pencil, crayon, ball pen, felt pen on paper",29.8,21.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7286,
7287,G 615/318,G 00615/318,Ich als Brandstifter,,,ohne Jahr/undated,no,"Kugelschreiber, Farbstift auf Papier","Ball pen, crayon on paper",29.5,21.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7287,
7288,G 615/319,G 00615/319,"Wie Gesindel verflucht wird, wenn meine Mutter gestorben wäre, welche mir es wünschen",,,1952,no,"Bleistift, Farbstift, Kugelschreiber auf Papier","Pencil, crayon, ball pen on paper",29.5,21.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7288,
7289,G 615/320,G 00615/320,"Wie ich mich als Selbstmörder selber anzünde, Selbstmörder Walla, Todesmacht ohne tuhen",,,ohne Jahr/undated,no,"Kugelschreiber, Farbstift auf Papier","Ball pen, crayon on paper",29.5,21.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7289,
7290,G 615/321,G 00615/321,Toter Engel Waalla,,,ohne Jahr/undated,no,"Bleistift, Farbstift auf Papier","Pencil, crayon on paper",29.0,21.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7290,
7291,G 615/322,G 00615/322,"Russlands Operatzijon, Kommunistendoppelknaben machen aus mir aus Nazimädchen",,,ohne Jahr/undated,no,"Kugelschreiber, Farbstift, Filzstift auf Papier","Ball pen, crayon, felt pen on paper",29.5,21.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7291,
7292,G 615/323,G 00615/323,Gustl in Moskau,,,ohne Jahr/undated,no,"Bleistift, Farbstift, Wasserfarbe, Tinte auf Papier","Pencil, crayon, water color, ink on paper",30.0,40.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7292,
7293,G 615/324,G 00615/324,Walla,,,ohne Jahr/undated,no,"Bleistift, Farbstift, Filzstift auf Papier","Pencil, crayon, felt pen on paper",29.5,21.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7293,
7294,G 615/325,G 00615/325,"Urinhineinschaun, Russo Wall",,,ohne Jahr/undated,no,"Bleistift, Farbstift auf Papier","Pencil, crayon on paper",29.5,21.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7294,
7295,G 615/326,G 00615/326,Melencolia (nach Albrecht Dürer),,,1973,no,Bleistift auf Papier,Pencil on paper,40.0,30.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7295,
7296,G 615/327,G 00615/327,Ohne Titel (nach Henri Rousseau: Hochzeit auf dem Lande),,,1977,no,Bleistift auf Papier,Pencil on paper,40.0,30.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7296,
7297,G 615/328,G 00615/328,Hornist,,,ohne Jahr/undated,no,Bleistift auf Papier,Pencil on paper,40.0,30.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7297,
7298,G 615/329,G 00615/329,Raphael (nach Albrecht Dürer: Die apokalyptischen Reiter),,,1981,no,Bleistift auf Papier,Pencil on paper,40.0,30.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7298,
7299,G 615/330,G 00615/330,Otttoan (nach René Magritte: Nostalgia),,,1981,no,Bleistift auf Papier,Pencil on paper,40.0,30.0,,cm,,,"Schenkung Die Künstler aus Gugging, Sammlung Leo Navratil/donation Die Künstler aus Gugging, Sammlung Leo Navratil",1985,Art Brut KG,https://www.mumok.at/imageobject.php?objid=7299,
7308,P 616/0,P 00616/000,Empaquetage,,,1961,no,In Leinwand verpackte Gegenstände mit Kordel,Objects wrapped in canvas with cord,100.0,30.0,14.0,cm,"Als der gebürtige Bulgare Christo 1958 nach Paris zog, begann er mit einer neuen Werkgruppe, den sogenannten „Empaquetages“. Es sind dies Verpackungen banaler und alltäglicher Gegenstände, etwa von Flaschen, Kanistern oder Möbelstücken. Zeitgleich befassten sich in den Vereinigten Staaten die Künstler und Künstlerinnen der Pop Art mit Werbung und Warenwelt. Während Andy Warhol jedoch Konservenbüchsen in knalligen Farben inszenierte, entzog Christo die Dinge des Alltags unseren Blicken. Seine Verhüllungen stehen in Opposition zu den stromlinienförmigen Industrieverpackungen, die durch auffallende Farben, Gefälligkeit und leicht verständliche Produktinformation zum Kauf eines Produktes verführen wollen. Die „Empaquetages“ sind nicht Design, sondern Improvisation, sie sind nicht informativ, sondern geheimnisvoll, sie sind nicht in Massen produziert, sondern von Hand gemacht.Christo und seine Partnerin Jeanne-Claude widmeten sich seit 1961 vor allem der Realisierung temporärer Großraumprojekte. 1983 etwa umsäumten sie in Florida für zwei Wochen elf Inseln mit pinkfarbenem Gewebe. Zwei Jahre später verhüllten sie für ebenfalls zwei Wochen den Pont Neuf in Paris. Mit der Verpackung des Berliner Reichstages 1995 schließlich erreichte die Dimension ihrer „Empaquetages“ einen publikumswirksamen Höhepunkt.","When Bulgarian-born Christo moved to Paris in 1958, he began a new series of works called Empaquetages. Ordinary everyday objects such as bottles, canisters, and items of furniture are wrapped in packing material. At this time, Pop artists in the USA were exploring the world of advertising and commodities. While Andy Warhol overtly presented cans of food in bright colors, Christo removed everyday objects from our gaze. His wrapped art is a contrast to conventional commercial packaging, which wishes to seduce us to buy by using conspicuous colors, a pleasant form, and easy-to-understood product information. Christo’s Empaquetages are not design but improvisation; they are not informative but secretive; they are not produced en masse, but made by hand.Since 1961, Christo and his partner Jeanne-Claude have focused in their work on large temporary projects in public spaces. In 1983, for example, they surrounded eleven islands in Florida with pink fabric for two weeks. Two years later they wrapped Paris’s Pont Neuf, also for two weeks. The scale of their Empaquetage then reached a sensational high point in 1985, when they wrapped the Berlin Reichstag building.","ehemals Sammlung Hahn/Former Hahn Collection, Köln/Cologne erworben/acquired in",2005,Christo,https://www.mumok.at/imageobject.php?objid=7308,"Verpackung, Schnur, Skulptur, Nouveau Realisme, Amerika, Frankreich,"
7309,B 616/0,B 00616/000,T 1980 T R 27,,,1980,no,Acryl auf Leinwand,Acrylic on canvas,154.0,250.0,,cm,,,erworben/acquired in,1983,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=7309,"Deutschland, Malerei, Informel, Tachismus"
7312,P 617/0,P 00617/000,Plaque de blindage II,Panzerplatte II,Armor plate II,1962,no,Stahlplatte vom Schießstand Zéro Nord nahe Bourges,Steel plate from the firing range Zéro Nord near Bourges,72.0,70.0,6.0,cm,,,"ehemals Sammlung Hahn/Former Hahn Collection, Köln/Cologne erworben/acquired in",2005,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=7312,
7313,B 617/0,B 00617/000,Der Schattenfänger,,Shadow-Catcher,1983,no,Mischtechnik auf Leinwand,Mixed media on canvas,210.0,374.0,,cm,,,erworben/acquired in,1984,Erwin Bohatsch,https://www.mumok.at/imageobject.php?objid=7313,"Österreich, Gestisch; Neue Wilde; 1980er Jahre; Malerei; Grafik,"
7327,P 618/0,P 00618/000,Le lit de camp de Koepcke,Koepckes Faltbett,Koepcke's foldable bed,1961,no,"Zusammengeklapptes Feldbett aus der Wohnung von Addi Koepcke, montierte Gegenstände","Foldable bed from the apartment of Addi Koepcke, various objects mounted on top",78.0,25.0,78.0,cm,,,"ehemals Sammlung Hahn/Former Hahn Collection, Köln/Cologne erworben/acquired in",2004,"Daniel Spoerri/Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=7327,"Fallenbild, Freund, Porträt, Bett, Relief, Objekt, Wand, Feldbett, Stillleben"
7328,B 618/0,B 00618/000,Minister Firnberg,,,1983,no,Öl auf Leinwand,Oil on canvas,160.0,100.0,,cm,,,Schenkung des Künstlers/donation of the artist,1984,Oswald Oberhuber,https://www.mumok.at/imageobject.php?objid=7328,
7330,P 619/0,P 00619/000,Ohne Titel,,Untitled,1975,no,"Holzkasten mit Objekten; Fellteile, Papier, Nägel, Metalldraht, Salz, Spiegel","Wooden box with objects; hide, paper, nails, metal wire, salt, mirror",72.0,52.0,5.5,cm,,,"ehemals Sammlung Hahn/Former Hahn Collection, Köln/Cologne erworben/acquired in",2005,Ugo Dossi,https://www.mumok.at/imageobject.php?objid=7330,
7331,B 619/0,B 00619/000,Wirtschaftsuniversität,,University of Economics,1982,no,Öl auf Leinwand,Oil on canvas,92.0,115.0,,cm,,,1983 nachinventarisiert,1983,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=7331,
7333,P 620/0,P 00620/000,Ohne Titel,Ohne Titel,Untitled,1975,no,Holzkasten mit Messer; Innenraum mit Salz überzogen,Wooden box with knife; interior covered with salt,70.8,54.1,7.3,cm,,,"ehemals Sammlung Hahn/Former Hahn Collection, Köln/Cologne erworben/acquired in",2005,Ugo Dossi,https://www.mumok.at/imageobject.php?objid=7333,
7334,B 620/0,B 00620/000,Bild Nr. 32,Bild Nr. 32,Painting No. 32,1982,no,Tempera auf Leinwand,Tempera on canvas,50.0,60.0,,cm,,,erworben/acquired in,1984,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=7334,
7335,G 620/0,G 00620/000,Theorie der Kultur,,Theory of Culture,1984,no,5 S/W Fotografien,5 b/w photographs,40.0,50.0,,cm,,,erworben/acquired in,1985,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=7335,
7336,P 621/0,P 00621/000,Symphonie Dispenser,Symphonie Verteiler,,1968,no,"Blechkanister, Notenblätter","Tin can, sheet music",62.0,65.0,30.0,cm,,,"ehemals Sammlung Hahn/Former Hahn Collection, Köln/Cologne erworben/acquired in",2005,Estate of Dick Higgins,https://www.mumok.at/imageobject.php?objid=7336,"Fluxus, Musik, Notation, Zufall"
7338,G 621/0,G 00621/000,Flugplan Houston,,Flight Plan Houston,ohne Jahr/undated,no,Aquarell auf Papier,Watercolor on paper,134.0,140.0,,cm,,,erworben/acquired in,1981,Bildrecht Wien,https://www.mumok.at/imageobject.php?objid=7338,
7339,P 622/0,P 00622/000,Ohne Titel,Ohne Titel,Untitled,1976,no,Eisen,Iron,180.0,,,cm,,,"ehemals Sammlung Hahn/Former Hahn Collection, Köln/Cologne erworben/acquired in",2005,Gary Kuehn,https://www.mumok.at/imageobject.php?objid=7339,
7340,B 622/0,B 00622/000,9. Dezember 1983,,9th December 1983,1983,no,Acryl auf Leinwand,Acrylic on canvas,152.0,203.0,,cm,,,erworben/acquired in,1984,Oscar Bronner,https://www.mumok.at/imageobject.php?objid=7340,
7342,P 623/0,P 00623/000,Paradise now,,,1972 - 1977,no,Verglaster Schaukelkasten mit Porzellanpuppe und beweglichen Papageien,Glazed swing boxwith porcelain dolland and moving parrots,46.0,60.0,7.0,cm,,,"ehemals Sammlung Hahn/Former Hahn Collection, Köln/Cologne erworben/acquired in",2005,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=7342,"Kasten, Material, Puppe, Papagei,"
7343,B 623/0,B 00623/000,Peinture Nr. 63,Bild Nr. 63,,1983,no,Öl auf Leinwand,Oil on canvas,200.0,200.0,,cm,,,erworben/acquired in,1984,Sándor Pinczehelyi,https://www.mumok.at/imageobject.php?objid=7343,
7345,P 624/0,P 00624/000,White Chess Set,Weißes Schachspiel,,1966,no,Holz,Wood,,,,,"„Ich spüre, dass ich ganz und gar ‚chess maniac‘ werden könnte, alles um mich herum nimmt die Gestalt des Springers oder der Dame an, und die Außenwelt hat für mich keine andere Bedeutung mehr, außer umgesetzt in Gewinner- oder Verliererpositionen“, schreibt der passionierte Turnierspieler Duchamp. Die Faszination, die vom Schachspiel ausgeht, liegt in der strategischen Anwendung von Regeln, die dem Zufall keinen Raum lässt und dem Spieler glasklaren Verstand abverlangt. Gerade diese den Anliegen von Fluxus diametral entgegengesetzten Prinzipien regten einige Fluxus-Künstler zu Interpretationen an: Takako Saitos Schachspiele etwa erfordern geschärfte Sinne, da die Spielfiguren nur durch Geruch, Gewicht oder Klang unterscheidbar sind.Yoko Ono geht noch einen Schritt weiter. Mit dem 1966 kreierten Schachspiel, das Brett und Figuren in einheitliches Weiß hüllt, schafft sie eine paradoxe Situation, die das herkömmliche, dualistische Denken in Gewinnern und Verlierern, in Siegern und Besiegten ad absurdum führt. Eine Inschrift an der Unterseite des Tisches ermutigt zum Spielen: „Chess set for playing as long as you can remember where all your pieces are.“ Die Uniformität der Figuren unterwandert das Oppositionsverhältnis der Spieler. Ono transformiert das Schachspiel, das vor vier Jahrtausenden als Kriegsspiel erfunden wurde, zu einem Forum friedlicher Einigung. Als Yoko Ono 1966 das weiße Schachspiel in der Indica-Galerie in London präsentiert, trifft sie ihren späteren Mann John Lennon, mit dem sie sich in zahlreichen Aktionen für den Weltfrieden engagieren wird.","“I feel altogether ready to become the chess maniac—everything around me takes the form of the knight or the queen, and the outside world has no other interest for me rather than its transposition into winning or losing positions,” wrote Marcel Duchamp, a passionate tournament player. The fascination that comes from chess lies in the strategic application of rules that leave no room for chance and that demand crystal clear thinking from players. These principles are diametrically opposed to the idea of Fluxus art, and this led some Fluxus artists to refer to and reinterpret chess. Takako Saito’s chess sets, for instance, require sharpened senses, since the figures can only be distinguished through smell, weight, or sound. Yoko Ono went a step further. With her chess set, created in 1966, which included both board and pieces, all in uniform white, she produced a paradoxical situation that demonstrated the absurdity of traditional dualistic thinking in categories of winners and losers, victors and vanquished. An inscription at the underside of the board states: “Chess set for playing as long as you can remember where all your pieces are.” The uniformity of the pieces subverts the protagonists’ oppositional relationship. Ono transforms chess, originally invented as a game of war several thousand years ago, into a form of peaceful unity. When Yoko Ono presented her white chess set in her exhibition in the Indica Gallery in London, she met her future husband John Lennon, with whom she went on to promote peace in numerous activities worldwide.","ehemals Sammlung Hahn/Former Hahn Collection, Köln/Cologne erworben/acquired in",2004,Yoko Ono,https://www.mumok.at/imageobject.php?objid=7345,Fluxus
7346,B 624/0,B 00624/000,Horizont-Stücke,,Horizon-Pieces,1980,no,"Öl, Acryl auf Holz","Oil, acrylic on wood",165.0,190.0,,cm,,,erworben/acquired in,1984,Thom Barth,https://www.mumok.at/imageobject.php?objid=7346,
7348,P 625/0,P 00625/000,Sound Chess,Geräusch-Schach,,1977 - 1978,no,Holz,Wood,6.2,31.8,32.0,cm,,,"ehemals Sammlung Hahn/Former Hahn Collection, Köln/Cologne erworben/acquired in",2004,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=7348,"Objekt, Installation, Zeichnung, Mixed Media, Performance, Aktion, Japan, Box, Spiel"
7349,G 625/0,G 00625/000,Selbstbemalung I,,Self-Painting I,1964,no,15 S/W Fotografien,15 b/w photographs,48.0,38.0,,cm,"Foto: Ludwig HoffenreichAtelier John Sailer, Opernring 21, 1010 Wien","Photogaphy: Ludwig HoffenreichJohns Sailer's studio, Opernring 21, 1010 Vienna",erworben/acquired in,1985,Günter Brus,https://www.mumok.at/imageobject.php?objid=7349,
7352,P 626/0,P 00626/000,Weight Chess,Gewicht-Schach,,1977 - 1978,no,Holz,Wood,6.2,31.7,32.0,cm,,,"ehemals Sammlung Hahn/Former Hahn Collection, Köln/Cologne erworben/acquired in",2004,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=7352,"Objekt, Installation, Zeichnung, Mixed Media, Performance, Aktion, Japan, Box, Spiel"
7353,B 626/0,B 00626/000,Ohne Titel,Ohne Titel,Untitled,1960 - 1961,no,Dispersion auf Leinwand,Dispersion on canvas,150.0,240.0,,cm,,,erworben/acquired in,1984,"Nachlass Alfons Schilling, Wien",https://www.mumok.at/imageobject.php?objid=7353,Aktion; Malerei; Österreich; Abstraktion; Gestik; Bewegung; Performance
